연도,지사,동물종류,건수
2005,중부내륙선,너구리,34
2005,논산천안선,호남선,멧토끼,38
2004,논산천안선,호남선,고라니,74
2005,중부내륙선,족제비,2
2004,남해선(순천부산),고라니,8
2005,광주대구선,멧토끼,17
2005,영동선,너구리,49
2006,남해선(순천부산),노루,6
2004,중앙선,족제비,12
2006,영동선,멧토끼,16
2012,중앙선,멧토끼,6
2013,통영대전선,고라니,329
2013,당진대전선,너구리,22
2011,중앙선,멧토끼,6
2012,광주대구선,너구리,16
2011,논산천안선,호남선,멧돼지,3
2012,제2중부선,고라니,8
2012,논산천안선,호남선,멧돼지,4
2011,통영대전선,멧돼지,9
2012,서울외곽순환선,고라니,5
2008,남해선(순천부산),너구리,7
2012,통영대전선,오소리,4
2012,통영대전선,너구리,17
2013,남해선(영암순천),너구리,3
2014,영동선,오소리,2
2012,서울양양,멧토끼,1
2015,중앙선,고라니,428
2014,호남선의지선,삵,1
2015,광주대구선,고라니,32
2015,남해제2지선,고라니,2
2015,대전남부순환선,고라니,5
2015,영동선,너구리,7
2017,서해안선,고라니,7
2017,청주상주선,고라니,44
2015,통영대전선,오소리,2
2017,제2중부선,고라니,14
2015,중앙선,삵,1
2016,호남선의지선,고라니,33
2018,호남선의지선,고라니,2
2007,서해안선,삵,3
2011,영동선,멧토끼,3
2010,울산선,너구리,1
2010,무안광주선,너구리,10
2009,당진대전선,족제비,7
2006,대전남부순환선,너구리,3
2008,고창담양선,멧토끼,1
2008,중부내륙지선,너구리,6
2005,통영대전선,노루,3
2006,영동선,오소리,1
2004,통영대전선,오소리,1
2011,통영대전선,멧토끼,2
2011,울산선,멧돼지,1
2012,중부내륙선,오소리,1
2013,제2경인선,너구리,4
2014,제2중부선,멧돼지,2
2015,무안광주선,멧돼지,1
2015,영동선,멧토끼,2
2017,중앙선,멧토끼,2
2016,영동선,오소리,3
2017,통영대전선,오소리,3
2017,중부내륙선,오소리,2
2016,대전남부순환선,고라니,3
2007,중앙선,오소리,3
2011,남해선(순천부산),삵,5
2009,광주대구선,멧토끼,3
2008,청주상주선,오소리,2
2009,논산천안선,호남선,삵,4
2008,동해선,멧토끼,2
2007,남해선(순천부산),족제비,1
2007,호남선의지선,노루,1
2013,서울외곽순환선,너구리,1
2012,서해안선,너구리,9
2013,서울양양,오소리,2
2012,익산장수선,너구리,2
2015,서울외곽순환선,고라니,3
2014,논산천안선,호남선,족제비,3
2015,순천완주선,기타,4
2016,중부내륙선,기타,1
2017,중부내륙지선,고라니,4
2015,광주대구선,너구리,2
2009,서울외곽순환선,너구리,1
2009,호남선의지선,멧토끼,1
2006,대전남부순환선,멧토끼,1
2006,제2중부선,고라니,2
2008,경부선,멧토끼,3
2007,호남선의지선,멧토끼,3
2005,통영대전선,족제비,1
2004,남해선(순천부산),오소리,2
2012,남해선(영암순천),멧돼지,2
2014,서천공주선,삵,1
2015,순천완주선,족제비,1
2010,고창담양선,족제비,1
2010,대구포항선,너구리,1
2010,당진대전선,삵,1
2006,중부내륙선,삵,1
2006,대구포항선,노루,1
2012,남해제1지선,멧돼지,1
2014,남해선(영암순천),멧돼지,1
2015,통영대전선,삵,1
2016,당진대전선,멧돼지,1
2011,논산천안선,호남선,삵,2
2009,논산천안선,호남선,오소리,1
2008,광주대구선,삵,2
2011,제2경인선,고라니,1
2011,서울외곽순환선,고라니,1
2013,대구포항선,기타,1
2013,당진대전선,멧돼지,1
2012,광주대구선,멧돼지,3
2011,남해제1지선,오소리,1
2007,영동선,오소리,1
2010,서울외곽순환선,너구리,1
2005,경부선,사슴,1
2013,당진대전선,기타,1
2015,남해선(영암순천),오소리,1
2014,남해선(순천부산),족제비,1
2015,통영대전선,기타,1
2015,익산장수선,너구리,2
2011,호남선의지선,멧토끼,1
2011,광주대구선,족제비,1
2006,동해선,멧토끼,1
2004,통영대전선,사슴,1
2012,경부선,멧돼지,1
2015,동해선,기타,1
2018,경부선,고라니,1
2007,동해선,너구리,20
2007,호남선의지선,너구리,33
2007,영동선,너구리,56
2007,남해선(순천부산),너구리,19
2011,통영대전선,너구리,26
2011,서해안선,멧토끼,5
2011,호남선의지선,고라니,48
2011,청주상주선,너구리,1
2011,당진대전선,너구리,12
2010,중부내륙선,고라니,84
2010,남해선(순천부산),고라니,29
2010,서해안선,삵,1
2010,남해선(순천부산),멧토끼,2
2009,경부선,고라니,168
2009,호남선의지선,고라니,39
2009,중앙선,너구리,27
2010,호남선의지선,멧토끼,2
2010,영동선,멧토끼,7
2009,울산선,고라니,10
2010,광주대구선,멧토끼,1
2009,서천공주선,고라니,64
2006,통영대전선,고라니,324
2006,남해선(순천부산),고라니,61
2006,통영대전선,멧토끼,16
2006,광주대구선,너구리,127
2006,대구포항선,멧토끼,4
2006,중부내륙선,너구리,36
2006,논산천안선,호남선,삵,4
2006,서해안선,멧토끼,33
2006,영동선,너구리,58
2008,청주상주선,고라니,124
2008,남해선(순천부산),고라니,50
2008,논산천안선,호남선,너구리,55
2008,통영대전선,너구리,79
2008,서해안선,고라니,153
2008,익산장수선,고라니,32
2008,광주대구선,족제비,12
2009,경부선,오소리,1
2008,익산장수선,오소리,4
2008,영동선,너구리,34
2008,익산장수선,족제비,7
2007,대전남부순환선,고라니,18
2005,서해안선,너구리,158
2005,중앙선,멧토끼,141
2005,중앙선,너구리,159
2005,경부선,오소리,5
2006,논산천안선,호남선,족제비,3
2005,경부선,족제비,4
2005,동해선,삵,2
2004,경부선,노루,16
2005,평택제천선,고라니,2
2012,호남선의지선,고라니,47
2012,호남선의지선,너구리,6
2012,중앙선,멧돼지,8
2013,울산선,고라니,1
2012,부산포항선,고라니,25
2012,남해제1지선,고라니,11
2013,동해선,고라니,23
2012,논산천안선,호남선,너구리,16
2012,대구포항선,고라니,29
2013,중부내륙지선,기타,1
2011,중부내륙선,너구리,10
2012,서해안선,고라니,89
2012,청주상주선,너구리,1
2012,서울외곽순환선,멧토끼,1
2012,남해제1지선,너구리,2
2012,당진대전선,멧토끼,7
2013,서울양양,고라니,14
2014,중앙선,멧토끼,12
2014,평택제천선,고라니,24
2015,중앙선,오소리,5
2014,순천완주선,고라니,31
2014,동해선,너구리,1
2015,남해선(영암순천),고라니,12
2014,경부선,멧돼지,5
2014,제2중부선,고라니,19
2015,순천완주선,고라니,21
2015,중앙선,기타,12
2016,중앙선,고라니,283
2017,동해선,고라니,35
2017,중앙선,고라니,114
2016,광주대구선,고라니,15
2016,서천공주선,고라니,61
2016,논산천안선,호남선,멧돼지,10
2016,논산천안선,호남선,고라니,32
2017,순천완주선,고라니,17
2015,경부선,삵,2
2010,울산선,고라니,10
2010,경부선,오소리,1
2009,대전남부순환선,고라니,13
2010,청주상주선,멧토끼,2
2010,고창담양선,너구리,9
2009,당진대전선,삵,4
2008,통영대전선,족제비,4
2008,제2중부선,고라니,9
2007,통영대전선,족제비,6
2007,통영대전선,삵,5
2007,제2경인선,족제비,1
2005,서울외곽순환선,너구리,3
